구분,총계,2018년 이전,2018년,2019년,2020년
계,75431,39258,9687,11657,10232
종로구,1729,1435,85,9,200
중 구,2001,1449,228,194,130
용산구,2383,1334,125,307,617
성동구,3515,2388,409,262,456
광진구,2556,1204,465,712,175
동대문구,2315,1805,197,209,104
중랑구,3285,1132,173,1050,930
성북구,3754,1945,860,716,233
강북구,2462,615,385,976,486
도봉구,1356,727,223,214,192
노원구,2282,1570,201,240,271
은평구,3660,1680,635,1057,288
서대문구,2939,1927,246,328,438
마포구,2401,1437,340,384,240
양천구,3307,2712,142,255,198
강서구,2437,1365,259,457,356
구로구,4075,2738,488,434,415
금천구,2365,948,540,369,508
영등포구,3773,1837,658,65,1213
동작구,2262,1525,255,242,240
관악구,4909,3308,674,596,331
서초구,3730,2493,436,361,440
강남구,6645,4174,744,796,931
송파구,2743,907,542,1068,226
강동구,2547,1200,377,356,614
